provider_ccn,facility_name,city,county,rural_urban,bed_size_band,total_beds,total_days,occupancy_rate,medicare_day_share,medicaid_day_share,patient_service_margin,contract_labor_ratio,days_cash_on_hand,demo_selection_reason
465143,CEDAR CITY HEALTHCARE LLC,CEDAR CITY,IRON,Rural,100-149,120,25271,0.5753870673952641,0.08614617545803491,0.6839064540382256,0.09075595874736785,NA,2.527184942977688,"Peer-group example: Rural, 100-149"
465147,ROCKY MOUNTAIN CARE - THE LODGE,HEBER CITY,WASATCH,Rural,50-99,92,28443,0.8447077690662865,0.08785993038708997,0.6055971592307422,-0.17186525393806934,NA,-32.07775151015009,"Peer-group example: Rural, 50-99"
465175,MISSION AT COMMUNITY LIVING & REHAB,CENTERFIELD,SANPETE,Rural,<50,46,11578,0.6876930387265384,0.1343928139575056,0.6673000518224218,0.06502832432916006,0.9999925603818012,138.36651685496633,"Peer-group example: Rural, <50"
465172,AVALON CARE CENTER - VA OGDEN LLC,OGDEN,WEBER,Urban,100-149,120,42563,0.9691029143897997,0.02544463501162982,0.07403143575405868,0.08973128684320318,0.06544263695896567,46.11611842672128,"Peer-group example: Urban, 100-149"
465078,BEAVER VALLEY HOSPITAL DBA HIGHLAND,SALT LAKE CITY,SALT LAKE,Urban,100-149,103,26434,0.7012043079208446,0.09635318150866308,0.6418627525156995,-0.018700242666058933,0.03489972293951279,77.45156658834495,Negative-margin example
465095,SUCCESSOR HEALTHCARE INC.,SALT LAKE CITY,SALT LAKE,Urban,150+,221,60547,0.7505981528543978,0.11069086825111071,0.7149322014302938,0.14374427605570894,5.102042391565776e-5,5.61773181271826,"Peer-group example: Urban, 150+"
465150,AVALON CARE CENTER - VA SALT LAKE II,SALT LAKE CITY,SALT LAKE,Urban,50-99,81,27310,0.9212035350468866,0.01222995239838887,0.02065177590626144,0.1076528195278249,0.17462661610371286,50.437781013146065,High-occupancy example
465072,AVENUES HEALTHCARE INC.,SALT LAKE CITY,SALT LAKE,Urban,50-99,80,20733,0.708094262295082,0.033376742391356774,0.7607196257174552,-0.017440167354141528,0.09638526835449379,1.4158497870161877,Low-occupancy example
465064,SAND HOLLOW HEALTHCARE LLC,ST. GEORGE,WASHINGTON,Urban,50-99,99,33858,0.9344262295081968,0.07752968279284068,0.7098470080926221,0.09699066962949858,1.9944169621173794e-4,0.7318586604219953,"Peer-group example: Urban, 50-99"
465191,ALPINE MEADOW REHABILITATION AND NUR,WEST VALLEY CITY,SALT LAKE,Urban,<50,42,14393,0.9388780169602088,0.025151115125408186,NA,0.1562773147203568,NA,55.6549249721836,"Peer-group example: Urban, <50"
